Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,49665,30-06-2025,Cyber Security
University Of Science & Technology,Bannu,BS,4 Years,0,20-09-2025,Cyber Security
University Of Malakand,Chakdara,BS,4 Years,20000,31-07-2025,Cyber Security
Gomal University,D.i. Khan,BS,4 Years,41000,31-07-2025,Cyber Security
Government College Women University,Faisalabad,AD,2 Years,44300,31-07-2025,Cyber Security
University Of Gujrat,Gujrat,BS,4 Years,0,15-08-2025,Cyber Security
University Of Haripur,Haripur,BS,4 Years,53358,26-01-2026,Cyber Security
Air University,Islamabad,BS,4 Years,112050,25-07-2025,Cyber Security
Allama Iqbal Open University,Islamabad,AD,2 Years,47300,10-02-2026,Cyber Security
Comsats University Islamabad,Islamabad,BS,4 Years,121150,17-12-2025,Cyber Security
National Skills University,Islamabad,BS,4 Years,40600,13-09-2025,Cyber Security
"National University Of Computer And Emerging Sciences, Islamabad",Islamabad,BS,4 Years,160000,04-07-2025,Cyber Security
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,0,30-11--0001,Cyber Security
National University Of Technology,Islamabad,BS,4 Years,115000,12-07-2025,Cyber Security
Mehran University Of Engineering & Technology,Jamshoro,BS,4 Years,38600,10-05-2025,Cyber Security
Dawood University Of Engineering And Technology,Karachi,BS,4 Years,70000,15-07-2025,Cyber Security
Ned University Of Engineering & Technology,Karachi,BS,4 Years,46670,20-05-2025,Cyber Security
Sindh Madressatul Islam University,Karachi,BS,4 Years,47050,01-12-2025,Cyber Security
Kohat University Of Science & Technology,Kohat,BS,4 Years,0,15-09-2025,Cyber Security
"University Of Engineering & Technology, Lahore",Lahore,AD,2 Years,0,22-03-2026,Cyber Security
"University Of Engineering & Technology, Lahore",Lahore,BS,4 Years,0,22-03-2026,Cyber Security
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Cyber Security
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,65000,18-08-2025,Cyber Security
"University Of Engineering & Technology ,mardan",Mardan,BS,4 Years,51013,07-07-2025,Cyber Security
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,0,15-09-2025,Cyber Security
Multan University Of Science And Technology,Multan,BS,4 Years,0,24-01-2026,Cyber Security
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Cyber Security
"Quaid-e-awam University Of Engineering, Sciences & Technology",Nawab Shah,BS,4 Years,20000,31-05-2025,Cyber Security
University Of Okara,Okara,BS,4 Years,46000,18-07-2025,Cyber Security
The University Of Agriculture,Peshawar,BS,4 Years,0,15-08-2025,Cyber Security
"University Of Engineering & Technology, Peshawar",Peshawar,BS,4 Years,85000,04-07-2025,Cyber Security
University Of Peshawar,Peshawar,BS,4 Years,0,11-08-2025,Cyber Security
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Cyber Security
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Cyber Security
University Of Sargodha,Sargodha,BS,4 Years,43000,15-12-2025,Cyber Security
University Of Sialkot,Sialkot,CERT,4 Years,129000,01-11-2024,Cyber Security
"Aror University Of Art, Architecture, Design And Heritage",Sukkur,BS,4 Years,54000,14-01-2026,Cyber Security
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Cyber Security
"University Of Engineering &  Technology, Taxila",Taxila,BS,4 Years,0,22-03-2026,Cyber Security
"Shaheed Benazir Bhutto University, Sheringal",Upper Dir,BS,4 Years,30010,10-10-2025,Cyber Security
Capital University Of Science And Technology,Islamabad,BS,4 Years,0,02-09-2025,Cyber Security
Muslim Youth University,Islamabad,BS,4 Years,0,29-10-2025,Cyber Security
Riphah International University,Islamabad,BS,4 Years,144000,30-07-2025,Cyber Security
Sir Syed Case Institute Of Technology,Islamabad,BS,4 Years,173000,13-01-2026,Cyber Security
Dha Suffa University(main Campus),Karachi,BS,4 Years,0,14-06-2025,Cyber Security
Greenwich University,Karachi,BS,4 Years,0,14-07-2024,Cyber Security
Nazeer Hussain University,Karachi,AD,2 Years,0,17-12-2023,Cyber Security
Shaheed Benazir Bhutto Dewan University,Karachi,BS,4 Years,0,15-02-2026,Cyber Security
